COUNTRY,AVG
BR,6.48
CJ,6.3
HD,6.3
PH,6.3
VL,6.25
BN,6.21
GL,6.16
AB,6.08
SV,6.07
OT,6.01
BZ,5.95
SM,5.95
IS,5.93
SJ,5.86
MM,5.85
NT,5.81
HR,5.78
SB,5.78
AG,5.77
IF,5.77
CS,5.73
GJ,5.73
AR,5.71
BC,5.68
DB,5.67
TM,5.66
VN,5.65
BH,5.59
IL,5.5
TL,5.49
CL,5.48
CV,5.45
BT,5.44
DJ,5.44
GR,5.42
VS,5.41
MS,5.23
MH,5.23
TR,5.21
CT,5.19
BV,5.09
